AX,AY,AZ,GX,GY,GZ,Label,Person
-0.240240173,0.039758431,-9.430431001,-0.597996241,0.926326983,1.266560359,Chew,1P
-0.264643536,0.00943635,-9.488502914,-0.654908445,-0.378815928,0.932916726,Chew,1P
-0.275581622,0.028231249,-9.510082508,-0.867370816,0.622889088,1.435680895,Chew,1P
-0.28143576,0.090908715,-9.483387029,-0.816123791,4.046129058,2.194893297,Chew,1P
-0.289355071,0.130115189,-9.435548469,0.08469048,6.852677347,1.699212657,Chew,1P
-0.277218756,0.085303836,-9.415371999,1.542566704,5.443503117,-0.392814878,Chew,1P
-0.225801537,-0.002461829,-9.445177993,2.20540538,0.420892951,-2.182910654,Chew,1P
-0.171971417,-0.003138791,-9.496071103,1.094438465,-3.138784968,-1.487114263,Chew,1P
-0.179977059,0.147148876,-9.526268216,-0.962410327,-1.848263001,1.321672047,Chew,1P
-0.252056214,0.336476607,-9.529682936,-2.079206901,1.742991295,3.619111186,Chew,1P
-0.314498856,0.389453721,-9.523178255,-1.51590689,3.237014862,3.780641967,Chew,1P
-0.302987491,0.271921842,-9.503810462,-0.348094117,2.329683877,2.775743343,Chew,1P
-0.228067911,0.117241882,-9.459162172,0.178770346,1.612942627,2.119944497,Chew,1P
-0.162611853,0.055127494,-9.421826415,0.117731113,1.278022218,1.697037688,Chew,1P
-0.194126233,0.078852247,-9.467775763,0.252723609,-0.914804857,0.651809472,Chew,1P
-0.361483073,0.096172393,-9.619818513,0.707272678,-4.490247604,-0.549565679,Chew,1P
-0.59537373,0.057726352,-9.773443751,0.794965082,-5.301191905,-0.440896563,Chew,1P
-0.744204736,-0.002220675,-9.781593618,0.112854399,-1.428607873,1.238156955,Chew,1P
-0.700602432,-0.024417053,-9.625194732,-0.813175677,3.375092132,2.993736161,Chew,1P
-0.496522183,0.012104973,-9.440926662,-1.182765651,4.606357581,3.514168785,Chew,1P
-0.269311288,0.072336639,-9.356942649,-0.876932644,2.744811093,3.084582649,Chew,1P
-0.167190772,0.089374501,-9.365862251,-0.404019115,1.476910534,2.546717351,Chew,1P
-0.280618738,0.023894881,-9.404328871,-0.043946027,2.107138292,1.743783409,Chew,1P
-0.584684664,-0.082154714,-9.483944621,0.368721301,2.585173945,0.043113513,Chew,1P
-0.905200026,-0.133815586,-9.641379203,0.663425049,1.552140339,-1.89500112,Chew,1P
-1.00868729,-0.085650203,-9.792628569,0.13505253,0.498137065,-2.239879364,Chew,1P
-0.803831361,0.005711524,-9.777031091,-1.316661232,0.865716934,-0.38260067,Chew,1P
-0.445847521,0.051566023,-9.579608566,-2.572344267,1.563169705,1.950249934,Chew,1P
-0.194566789,0.033333539,-9.383572268,-2.513573489,1.378693655,2.818891167,Chew,1P
-0.162021794,0.01002321,-9.335501222,-1.29859241,1.442552382,2.321370782,Chew,1P
-0.236960063,0.032383269,-9.371720457,0.116233498,2.623506469,1.715156424,Chew,1P
-0.275932189,0.07825794,-9.373197971,1.110216735,2.72253185,1.240018575,Chew,1P
-0.299354604,0.084067204,-9.387058232,1.447223049,-0.326723011,0.257980654,Chew,1P
-0.407748856,0.021478526,-9.536222929,0.745362048,-3.926855963,-0.894344979,Chew,1P
-0.557830785,-0.074614768,-9.757598287,-1.167119157,-3.556260703,-0.845604568,Chew,1P
-0.580516846,-0.147346807,-9.823932625,-3.384861634,0.322808538,0.707446618,Chew,1P
-0.432933233,-0.170609804,-9.653016987,-4.283393411,2.566397683,2.182720692,Chew,1P
-0.277154303,-0.154574462,-9.424660329,-3.139082111,1.125737921,2.149975032,Chew,1P
-0.253965311,-0.113158236,-9.332562668,-0.907095262,-0.198215584,1.178928893,Chew,1P
-0.30491364,-0.051547431,-9.364292071,0.892199775,1.504449651,0.695668107,Chew,1P
-0.306447297,0.012522144,-9.405981856,1.609836457,3.016426868,0.831301011,Chew,1P
-0.289943255,0.045980265,-9.442984737,1.52537389,-0.172892561,0.697425569,Chew,1P
-0.393259135,0.038669324,-9.532377863,0.97861797,-6.143697942,0.306792547,Chew,1P
-0.612695499,0.02175024,-9.640845751,0.027094341,-7.988134238,0.643695289,Chew,1P
-0.75123526,0.019710636,-9.657385121,-1.162842282,-3.067208334,1.745619507,Chew,1P
-0.664952205,0.006978555,-9.564951828,-2.130210525,3.402094074,2.248550594,Chew,1P
-0.445975481,-0.047082137,-9.462161971,-2.476149572,5.583777653,1.423743993,Chew,1P
-0.28543122,-0.112719865,-9.387418371,-2.128956231,3.778260373,0.450521932,Chew,1P
-0.249517813,-0.127186624,-9.266296707,-1.158639913,1.355377122,0.804489968,Chew,1P
-0.29034229,-0.071794786,-9.102154342,0.345105686,-1.107796552,2.186051828,Chew,1P
-0.399485354,0.01397246,-9.066414751,1.879681997,-4.448734824,3.021305551,Chew,1P
-0.603559119,0.075692606,-9.269032661,2.311007815,-6.238065522,2.624789091,Chew,1P
-0.822867823,0.071457947,-9.557669221,0.80035072,-2.814835449,1.836167505,Chew,1P
-0.882306691,-0.020403983,-9.690433337,-1.938267847,4.131520648,1.495737374,Chew,1P
-0.712135879,-0.173825145,-9.62267599,-3.979429732,8.028346117,1.353888455,Chew,1P
-0.447011697,-0.293896242,-9.496956414,-4.018620928,5.885574724,0.956984777,Chew,1P
-0.271814564,-0.279604477,-9.420551008,-2.413332192,1.922010538,0.630083078,Chew,1P
-0.237368866,-0.146600969,-9.384322366,-0.360822451,0.649003258,0.721684603,Chew,1P
-0.293753342,-0.045254033,-9.384880472,1.327766425,0.702857954,0.688681955,Chew,1P
-0.4280625,-0.094630409,-9.491920604,2.308598647,-0.975658446,0.091568935,Chew,1P
-0.637388105,-0.222772416,-9.714231158,2.151838653,-2.581820722,-0.155403068,Chew,1P
-0.804537118,-0.249769529,-9.883225156,0.570747395,-0.258438057,1.028271959,Chew,1P
-0.770006302,-0.123998459,-9.809440498,-1.755481067,4.45867082,2.862078358,Chew,1P
-0.54884771,0.016324659,-9.541631281,-3.328078819,5.787706761,3.413588139,Chew,1P
-0.343461255,0.034653872,-9.337495337,-3.169599517,2.273514089,2.216145756,Chew,1P
-0.31145084,-0.047087191,-9.356438465,-1.717434446,-0.879720981,0.815641838,Chew,1P
-0.417185669,-0.124611876,-9.492728577,-0.210712326,0.638899171,0.613914786,Chew,1P
-0.535653121,-0.15790332,-9.551384633,0.566518923,4.031335564,1.242543323,Chew,1P
-0.618650244,-0.172811148,-9.498134658,0.719987182,3.233460324,1.448850944,Chew,1P
-0.705193514,-0.169036917,-9.460289538,0.578019961,-2.435870448,0.915994191,Chew,1P
-0.802963623,-0.117610632,-9.514394051,0.050793444,-6.728204315,0.513922402,Chew,1P
-0.829965156,-0.051658844,-9.569796202,-1.052952689,-4.714469724,0.849714304,Chew,1P
-0.715704237,-0.068582845,-9.508336438,-2.354725215,0.696112281,1.36320286,Chew,1P
-0.524370106,-0.190127229,-9.364255855,-2.998767847,3.475610259,1.308568509,Chew,1P
-0.399959769,-0.291489022,-9.272957232,-2.428362295,2.565991129,0.946909843,Chew,1P
-0.400682015,-0.247758806,-9.29237968,-0.879580712,0.94729704,0.921757082,Chew,1P
-0.475169114,-0.106013072,-9.386877732,0.787961788,-0.592293206,0.955105971,Chew,1P
-0.579096276,-0.03186436,-9.538187355,1.534758481,-3.249710788,0.292117668,Chew,1P
-0.695877415,-0.104955397,-9.727532245,0.691776015,-5.217821467,-0.773635064,Chew,1P
-0.762158241,-0.231916396,-9.840173258,-1.309373766,-2.858297925,-1.015745165,Chew,1P
-0.712833746,-0.262990917,-9.755926682,-2.773228398,2.835619347,0.010312747,Chew,1P
-0.597929584,-0.157168427,-9.541475047,-2.119770636,6.3073664,1.362161548,Chew,1P
-0.532165519,-0.016721972,-9.403947228,0.249708319,5.09286372,2.001359936,Chew,1P
-0.535355812,0.035481526,-9.425435156,2.165487621,2.614381952,1.946256328,Chew,1P
-0.536423628,-0.011849298,-9.469690571,2.161616419,1.807095473,1.854416464,Chew,1P
-0.533059515,-0.07845403,-9.409343679,1.028470828,0.571470606,1.882473962,Chew,1P
-0.624451482,-0.120006543,-9.341706545,0.342661369,-3.458751892,1.474541021,Chew,1P
-0.834908812,-0.165741642,-9.455491628,0.184053312,-7.036826921,0.428098967,Chew,1P
-1.000100345,-0.225999813,-9.716061635,-0.622940626,-4.904741667,-0.389374894,Chew,1P
-0.931124172,-0.247668248,-9.84831244,-2.284724885,1.814046292,-0.052307028,Chew,1P
-0.661237781,-0.200041332,-9.687676516,-3.38770332,6.051893888,1.073671243,Chew,1P
-0.427166642,-0.136376581,-9.396392758,-2.787013747,4.286586226,1.817997253,Chew,1P
-0.392149197,-0.121148793,-9.232547736,-1.05297064,0.616153698,1.755000871,Chew,1P
-0.480596986,-0.145349265,-9.24263144,0.474707571,-0.294514526,1.399428439,Chew,1P
-0.541029412,-0.157185883,-9.314853197,1.222943188,0.240235534,1.071643529,Chew,1P
-0.582942908,-0.139985973,-9.410879165,1.385854222,-1.498059176,0.566184951,Chew,1P
-0.723431811,-0.121137713,-9.55677919,1.040755902,-4.554426347,0.038779033,Chew,1P
-0.936823439,-0.128302805,-9.673961191,0.12235828,-4.191243565,0.217561408,Chew,1P
-1.034864487,-0.172360077,-9.632109473,-0.844213169,0.601345554,1.229602763,Chew,1P
-0.929497145,-0.255243263,-9.468290537,-0.853075509,4.989848234,2.005976216,Chew,1P
-0.727712921,-0.350560268,-9.35710206,0.285363352,5.113147393,1.648910922,Chew,1P
-0.481096906,-0.385884052,-9.327636737,1.247428205,2.783092362,0.930020986,Chew,1P
-0.076042642,-0.30379877,-9.213062433,0.541472424,0.903645042,1.449147086,Chew,1P
0.425195132,-0.152986683,-8.982942878,-1.519329428,-1.595821585,3.330615207,Chew,1P
0.581051944,-0.05639754,-8.915022186,-3.019518057,-6.223258668,4.785286887,Chew,1P
0.06022685,-0.061444553,-9.222957952,-2.775899062,-9.401260636,4.371023132,Chew,1P
-0.811286519,-0.087509592,-9.665365262,-1.560002547,-5.956644775,2.751493647,Chew,1P
-1.351958459,-0.059158387,-9.802388615,-0.705334987,2.519410175,1.572212875,Chew,1P
-1.291044207,-0.015410686,-9.565916234,-0.467946958,8.238302043,1.473355128,Chew,1P
-0.940186699,-0.031163634,-9.299672571,-0.304234744,7.131474776,1.972203239,Chew,1P
-0.684818259,-0.097104669,-9.262560331,-0.0263176,3.125799842,2.490019021,Chew,1P
-0.601723382,-0.143852128,-9.363497153,0.099035412,0.692379105,2.604456305,Chew,1P
-0.592391788,-0.150323748,-9.423067481,0.100842892,-1.50035096,1.872902819,Chew,1P
-0.634647763,-0.171357259,-9.448635861,0.307866822,-5.773393173,0.395037347,Chew,1P
